loan_type,interest_rate,loan_term_months,inflation_rate,loan_amount,channel,amortization_method,total_monthly_payments,total_mortgage_interest,total_investment_amount,total_investment_final_value,total_investment_profit,total_investment_taxes,total_investment_profit_after_tax,total_investment_net_value_after_tax,total_cost_interest_minus_profit,extraction_timestamp,source_file
פריים,5.04,60,1.0,100000,פריים,בוליט,60,25200.00,46020.00,54752.77,3869.71,1289.90,,53462.86,21330.29,20250724_224609,loan_פריים_int_5.04_term_60_infl_1.0_summary.csv
דולר,3.83,60,3.0,100000,דולר,בוליט,60,19150.00,51969.17,61830.85,4369.97,1456.66,,60374.20,14780.03,20250724_233003,loan_דולר_int_3.83_term_60_infl_3.0_summary.csv
פריים,4.96,210,1.0,100000,פריים,בוליט,210,86800.00,164413.33,314693.32,74543.49,24847.83,,289845.49,12256.51,20250724_230713,loan_פריים_int_4.96_term_210_infl_1.0_summary.csv
משתנה צמודה כל שנה,3.83,30,2.0,100000,משתנה צמודה כל שנה,בוליט,300,124305.57,235020.42,635960.69,211993.84,70664.61,,565296.08,-87688.27,20250724_232340,loan_משתנה צמודה כל שנה_int_3.83_term_30_infl_2.0_summary.csv
קבועה צמודה,3.67,210,4.0,100000,קבועה צמודה,בוליט,210,93106.18,158308.97,314577.77,77790.99,25930.33,,288647.44,15315.19,20250725_000607,loan_קבועה צמודה_int_3.67_term_210_infl_4.0_summary.csv
משתנה צמודה כל 2,3.35,180,1.0,100000,משתנה צמודה כל 2,בוליט,180,54235.32,160889.01,279877.23,57793.02,19264.34,,260612.89,-3557.70,20250725_000343,loan_משתנה צמודה כל 2_int_3.35_term_180_infl_1.0_summary.csv
יורו,3.35,150,1.0,100000,יורו,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235221,loan_יורו_int_3.35_term_150_infl_1.0_summary.csv
קבועה לא צמודה,5.04,60,4.0,100000,קבועה לא צמודה,בוליט,60,25200.00,46020.00,54752.77,3869.71,1289.90,,53462.86,21330.29,20250724_224744,loan_קבועה לא צמודה_int_5.04_term_60_infl_4.0_summary.csv
משתנה צמודה כל 2,3.67,240,4.0,100000,משתנה צמודה כל שנה,בוליט,240,112545.81,174933.93,390747.06,109822.90,36607.63,,354139.43,2722.91,20250725_002007,loan_משתנה צמודה כל 2_int_3.67_term_240_infl_4.0_summary.csv
משתנה צמודה כל 5,3.35,180,3.0,100000,משתנה צמודה כל 5,בוליט,180,63521.62,151715.96,266833.67,55976.65,18658.88,,248174.78,7544.96,20250724_235852,loan_משתנה צמודה כל 5_int_3.35_term_180_infl_3.0_summary.csv
משתנה צמודה כל שנה,3.35,150,2.0,100000,דולר,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235511,loan_משתנה צמודה כל שנה_int_3.35_term_150_infl_2.0_summary.csv
קבועה לא צמודה,4.92,90,4.0,100000,קבועה לא צמודה,בוליט,90,36900.00,70310.00,91569.90,9645.47,3215.16,,88354.74,27254.53,20250724_230331,loan_קבועה לא צמודה_int_4.92_term_90_infl_4.0_summary.csv
קבועה לא צמודה,5.04,30,1.0,100000,קבועה לא צמודה,בוליט,30,12600.00,22620.00,24643.67,875.46,291.82,,24351.85,11724.54,20250724_230013,loan_קבועה לא צמודה_int_5.04_term_30_infl_1.0_summary.csv
"עוגן מק""מ",3.45,120,2.0,100000,"עוגן מק""מ",בוליט,120,34500.00,108587.50,155172.20,21628.81,7209.60,,147962.60,12871.19,20250724_234627,"loan_עוגן מק""מ_int_3.45_term_120_infl_2.0_summary.csv"
דולר,3.63,270,3.0,100000,דולר,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002511,loan_דולר_int_3.63_term_270_infl_3.0_summary.csv
קבועה לא צמודה,5.04,30,2.0,100000,קבועה לא צמודה,בוליט,30,12600.00,22620.00,24643.67,875.46,291.82,,24351.85,11724.54,20250724_230027,loan_קבועה לא צמודה_int_5.04_term_30_infl_2.0_summary.csv
משתנה צמודה כל 10,3.67,210,2.0,100000,דולר,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_001239,loan_משתנה צמודה כל 10_int_3.67_term_210_infl_2.0_summary.csv
משתנה צמודה כל 5,3.55,330,1.0,100000,קבועה צמודה,בוליט,330,177973.74,217713.37,713071.76,268391.24,89463.75,,623608.02,-90417.50,20250725_003754,loan_משתנה צמודה כל 5_int_3.55_term_330_infl_1.0_summary.csv
זכאות,3.67,240,2.0,100000,זכאות,בוליט,240,90308.96,196947.13,425579.53,116023.11,38674.37,,386905.16,-25714.15,20250725_001517,loan_זכאות_int_3.67_term_240_infl_2.0_summary.csv
משתנה צמודה כל 5,3.63,270,1.0,100000,קבועה צמודה,בוליט,270,132565.58,190977.34,481791.30,151197.71,50399.24,,431392.06,-18632.13,20250725_002206,loan_משתנה צמודה כל 5_int_3.63_term_270_infl_1.0_summary.csv
משתנה צמודה כל 5,3.63,300,4.0,100000,משתנה צמודה כל 5,בוליט,300,156042.60,203578.31,584386.47,202194.81,67398.27,,516988.20,-46152.20,20250725_003037,loan_משתנה צמודה כל 5_int_3.63_term_300_infl_4.0_summary.csv
משתנה לא צמודה כל 5,4.96,240,1.0,100000,משתנה לא צמודה כל 5,בוליט,240,99200.00,188013.33,398475.28,106602.34,35534.11,,362941.17,-7402.34,20250724_225554,loan_משתנה לא צמודה כל 5_int_4.96_term_240_infl_1.0_summary.csv
משתנה צמודה כל שנה,3.45,90,2.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_233926,loan_משתנה צמודה כל שנה_int_3.45_term_90_infl_2.0_summary.csv
משתנה צמודה כל שנה,3.83,60,3.0,100000,משתנה צמודה כל שנה,בוליט,60,20684.66,50486.09,60164.72,4289.78,1429.93,,58734.79,16394.87,20250724_233148,loan_משתנה צמודה כל שנה_int_3.83_term_60_infl_3.0_summary.csv
קבועה צמודה,3.67,240,4.0,100000,קבועה צמודה,בוליט,240,112545.81,174933.93,390747.06,109822.90,36607.63,,354139.43,2722.91,20250725_001358,loan_קבועה צמודה_int_3.67_term_240_infl_4.0_summary.csv
משתנה לא צמודה כל 5,4.92,120,2.0,100000,משתנה לא צמודה כל 5,בוליט,120,49200.00,94010.00,134340.87,18725.21,6241.74,,128099.13,30474.79,20250724_225049,loan_משתנה לא צמודה כל 5_int_4.92_term_120_infl_2.0_summary.csv
קבועה לא צמודה,4.96,210,1.0,100000,קבועה לא צמודה,בוליט,210,86800.00,164413.33,314693.32,74543.49,24847.83,,289845.49,12256.51,20250724_230806,loan_קבועה לא צמודה_int_4.96_term_210_infl_1.0_summary.csv
קבועה לא צמודה,4.96,240,2.0,100000,קבועה לא צמודה,בוליט,240,99200.00,188013.33,398475.28,106602.34,35534.11,,362941.17,-7402.34,20250724_225514,loan_קבועה לא צמודה_int_4.96_term_240_infl_2.0_summary.csv
משתנה צמודה כל 10,3.83,60,4.0,100000,משתנה צמודה כל 10,בוליט,360,222255.83,209601.73,810049.10,332285.39,110761.80,,699287.30,-110029.57,20250724_233346,loan_משתנה צמודה כל 10_int_3.83_term_60_infl_4.0_summary.csv
דולר,3.45,90,2.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_233743,loan_דולר_int_3.45_term_90_infl_2.0_summary.csv
פריים,4.92,90,1.0,100000,פריים,בוליט,90,36900.00,70310.00,91569.90,9645.47,3215.16,,88354.74,27254.53,20250724_230159,loan_פריים_int_4.92_term_90_infl_1.0_summary.csv
דולר,3.67,240,3.0,100000,דולר,בוליט,240,73400.00,213705.83,452927.94,121169.82,40389.94,,412538.00,-47769.82,20250725_001716,loan_דולר_int_3.67_term_240_infl_3.0_summary.csv
משתנה צמודה כל 5,3.45,90,1.0,100000,קבועה צמודה,בוליט,90,30217.64,76970.25,100721.23,10782.01,3594.00,,97127.23,19435.63,20250724_233452,loan_משתנה צמודה כל 5_int_3.45_term_90_infl_1.0_summary.csv
קבועה לא צמודה,5.04,30,3.0,100000,קבועה לא צמודה,בוליט,30,12600.00,22620.00,24643.67,875.46,291.82,,24351.85,11724.54,20250724_230040,loan_קבועה לא צמודה_int_5.04_term_30_infl_3.0_summary.csv
פריים,4.97,270,2.0,100000,פריים,בוליט,270,111825.00,211389.17,497170.52,147724.39,49241.46,,447929.05,-35899.39,20250724_231003,loan_פריים_int_4.97_term_270_infl_2.0_summary.csv
יורו,3.55,330,1.0,100000,יורו,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_003938,loan_יורו_int_3.55_term_330_infl_1.0_summary.csv
קבועה לא צמודה,4.83,180,4.0,100000,קבועה לא צמודה,בוליט,180,72450.00,142752.50,247308.55,50760.09,16920.03,,230388.52,21689.91,20250724_225302,loan_קבועה לא צמודה_int_4.83_term_180_infl_4.0_summary.csv
יורו,3.67,210,4.0,100000,יורו,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_000845,loan_יורו_int_3.67_term_210_infl_4.0_summary.csv
יורו,3.45,120,4.0,100000,יורו,בוליט,120,34500.00,108587.50,155172.20,21628.81,7209.60,,147962.60,12871.19,20250724_234507,loan_יורו_int_3.45_term_120_infl_4.0_summary.csv
זכאות,3.63,300,1.0,100000,זכאות,בוליט,300,103138.58,256049.80,678619.89,223045.06,74348.35,,604271.54,-119906.48,20250725_003051,loan_זכאות_int_3.63_term_300_infl_1.0_summary.csv
"עוגן מק""מ",3.63,300,3.0,100000,"עוגן מק""מ",בוליט,300,90750.00,268352.50,701882.59,228557.60,76185.87,,625696.72,-137807.60,20250725_003357,"loan_עוגן מק""מ_int_3.63_term_300_infl_3.0_summary.csv"
זכאות,3.63,300,3.0,100000,זכאות,בוליט,300,135254.66,224185.13,620617.11,209969.46,69989.82,,550627.29,-74714.80,20250725_003117,loan_זכאות_int_3.63_term_300_infl_3.0_summary.csv
משתנה צמודה כל 5,3.67,210,3.0,100000,קבועה צמודה,בוליט,210,93106.18,158308.97,314577.77,77790.99,25930.33,,288647.44,15315.19,20250725_000646,loan_משתנה צמודה כל 5_int_3.67_term_210_infl_3.0_summary.csv
פריים,4.92,90,3.0,100000,פריים,בוליט,90,36900.00,70310.00,91569.90,9645.47,3215.16,,88354.74,27254.53,20250724_230225,loan_פריים_int_4.92_term_90_infl_3.0_summary.csv
משתנה צמודה כל 2,3.63,300,4.0,100000,משתנה צמודה כל 2,בוליט,300,156042.60,203578.31,584386.47,202194.81,67398.27,,516988.20,-46152.20,20250725_003556,loan_משתנה צמודה כל 2_int_3.63_term_300_infl_4.0_summary.csv
משתנה לא צמודה כל 5,5.05,360,2.0,100000,משתנה לא צמודה כל 5,בוליט,360,151500.00,279720.83,910419.32,345213.43,115071.14,,795348.18,-193713.43,20250724_231731,loan_משתנה לא צמודה כל 5_int_5.05_term_360_infl_2.0_summary.csv
משתנה צמודה כל 5,3.45,120,2.0,100000,משתנה צמודה כל 5,בוליט,120,38220.50,104930.60,150539.88,21186.01,7062.00,,143477.87,17034.48,20250724_234255,loan_משתנה צמודה כל 5_int_3.45_term_120_infl_2.0_summary.csv
זכאות,3.67,240,4.0,100000,זכאות,בוליט,240,112545.81,174933.93,390747.06,109822.90,36607.63,,354139.43,2722.91,20250725_001544,loan_זכאות_int_3.67_term_240_infl_4.0_summary.csv
משתנה צמודה כל 5,3.55,360,1.0,100000,משתנה צמודה כל 5,בוליט,360,124243.46,306955.82,1017914.40,389731.59,129910.53,,888003.87,-265488.13,20250725_004545,loan_משתנה צמודה כל 5_int_3.55_term_360_infl_1.0_summary.csv
משתנה צמודה כל שנה,3.45,90,4.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_233952,loan_משתנה צמודה כל שנה_int_3.45_term_90_infl_4.0_summary.csv
יורו,3.45,90,4.0,100000,יורו,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_233716,loan_יורו_int_3.45_term_90_infl_4.0_summary.csv
קבועה צמודה,3.35,150,1.0,100000,קבועה צמודה,בוליט,150,44622.13,134494.19,211969.29,36804.56,12268.19,,199701.11,7817.57,20250724_234943,loan_קבועה צמודה_int_3.35_term_150_infl_1.0_summary.csv
משתנה צמודה כל שנה,3.45,120,4.0,100000,משתנה צמודה כל שנה,בוליט,120,42475.43,100753.18,145288.10,20698.96,6899.65,,138388.44,21776.47,20250724_234746,loan_משתנה צמודה כל שנה_int_3.45_term_120_infl_4.0_summary.csv
פריים,4.83,150,2.0,100000,פריים,בוליט,150,60375.00,118827.50,186750.54,32256.24,10752.08,,175998.46,28118.76,20250724_230449,loan_פריים_int_4.83_term_150_infl_2.0_summary.csv
זכאות,3.67,210,1.0,100000,זכאות,בוליט,210,70213.97,180950.33,348571.45,83201.38,27733.79,,320837.66,-12987.42,20250725_000712,loan_זכאות_int_3.67_term_210_infl_1.0_summary.csv
"עוגן מק""מ",3.83,60,3.0,100000,"עוגן מק""מ",בוליט,60,19150.00,51969.17,61830.85,4369.97,1456.66,,60374.20,14780.03,20250724_233055,"loan_עוגן מק""מ_int_3.83_term_60_infl_3.0_summary.csv"
זכאות,3.83,60,2.0,100000,זכאות,בוליט,60,20156.15,50996.55,60737.66,4317.15,1439.05,,59298.62,15839.00,20250724_232804,loan_זכאות_int_3.83_term_60_infl_2.0_summary.csv
משתנה צמודה כל 2,3.83,30,2.0,100000,משתנה צמודה כל 2,בוליט,300,124305.57,235020.42,635960.69,211993.84,70664.61,,565296.08,-87688.27,20250724_232433,loan_משתנה צמודה כל 2_int_3.83_term_30_infl_2.0_summary.csv
"עוגן מק""מ",3.83,30,3.0,100000,"עוגן מק""מ",בוליט,300,95750.00,263369.17,688848.56,224313.26,74771.09,,614077.47,-128563.26,20250724_232300,"loan_עוגן מק""מ_int_3.83_term_30_infl_3.0_summary.csv"
יורו,3.35,150,4.0,100000,יורו,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235300,loan_יורו_int_3.35_term_150_infl_4.0_summary.csv
קבועה לא צמודה,5.05,330,2.0,100000,קבועה לא צמודה,בוליט,330,138875.00,256345.83,747178.81,263751.26,87917.09,,659261.73,-124876.26,20250724_231400,loan_קבועה לא צמודה_int_5.05_term_330_infl_2.0_summary.csv
משתנה לא צמודה כל 5,4.96,210,1.0,100000,קבועה לא צמודה,בוליט,210,86800.00,164413.33,314693.32,74543.49,24847.83,,289845.49,12256.51,20250724_230858,loan_משתנה לא צמודה כל 5_int_4.96_term_210_infl_1.0_summary.csv
קבועה צמודה,3.45,120,1.0,100000,קבועה צמודה,בוליט,120,36298.31,106819.41,152928.07,21412.63,7137.54,,145790.52,14885.68,20250724_234149,loan_קבועה צמודה_int_3.45_term_120_infl_1.0_summary.csv
משתנה לא צמודה כל 5,4.92,90,4.0,100000,קבועה לא צמודה,בוליט,90,36900.00,70310.00,91569.90,9645.47,3215.16,,88354.74,27254.53,20250724_230423,loan_משתנה לא צמודה כל 5_int_4.92_term_90_infl_4.0_summary.csv
משתנה לא צמודה כל 5,4.97,300,3.0,100000,משתנה לא צמודה כל 5,בוליט,300,124250.00,234964.17,614554.58,200120.53,66706.84,,547847.73,-75870.53,20250724_231227,loan_משתנה לא צמודה כל 5_int_4.97_term_300_infl_3.0_summary.csv
משתנה צמודה כל 10,3.45,120,1.0,100000,משתנה צמודה כל 10,בוליט,120,36298.31,106819.41,152928.07,21412.63,7137.54,,145790.52,14885.68,20250724_234851,loan_משתנה צמודה כל 10_int_3.45_term_120_infl_1.0_summary.csv
יורו,3.55,330,3.0,100000,יורו,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004005,loan_יורו_int_3.55_term_330_infl_3.0_summary.csv
פריים,4.97,270,1.0,100000,פריים,בוליט,270,111825.00,211389.17,497170.52,147724.39,49241.46,,447929.05,-35899.39,20250724_230950,loan_פריים_int_4.97_term_270_infl_1.0_summary.csv
משתנה צמודה כל שנה,3.55,330,3.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004242,loan_משתנה צמודה כל שנה_int_3.55_term_330_infl_3.0_summary.csv
פריים,4.92,120,3.0,100000,פריים,בוליט,120,49200.00,94010.00,134340.87,18725.21,6241.74,,128099.13,30474.79,20250724_224916,loan_פריים_int_4.92_term_120_infl_3.0_summary.csv
משתנה לא צמודה כל 5,5.04,30,4.0,100000,משתנה לא צמודה כל 5,בוליט,300,126000.00,233220.00,609992.67,198635.02,66211.67,,543781.00,-72635.02,20250724_230146,loan_משתנה לא צמודה כל 5_int_5.04_term_30_infl_4.0_summary.csv
פריים,5.04,30,3.0,100000,פריים,בוליט,30,12600.00,22620.00,24643.67,875.46,291.82,,24351.85,11724.54,20250724_225947,loan_פריים_int_5.04_term_30_infl_3.0_summary.csv
"עוגן מק""מ",3.67,240,2.0,100000,"עוגן מק""מ",בוליט,240,73400.00,213705.83,452927.94,121169.82,40389.94,,412538.00,-47769.82,20250725_001756,"loan_עוגן מק""מ_int_3.67_term_240_infl_2.0_summary.csv"
משתנה צמודה כל שנה,3.83,60,4.0,100000,משתנה צמודה כל שנה,בוליט,60,21230.96,49958.74,59573.37,4261.76,1420.59,,58152.78,16969.20,20250724_233201,loan_משתנה צמודה כל שנה_int_3.83_term_60_infl_4.0_summary.csv
משתנה לא צמודה כל 5,4.83,180,1.0,100000,משתנה לא צמודה כל 5,בוליט,180,72450.00,142752.50,247308.55,50760.09,16920.03,,230388.52,21689.91,20250724_225315,loan_משתנה לא צמודה כל 5_int_4.83_term_180_infl_1.0_summary.csv
דולר,3.67,240,2.0,100000,דולר,בוליט,240,73400.00,213705.83,452927.94,121169.82,40389.94,,412538.00,-47769.82,20250725_001703,loan_דולר_int_3.67_term_240_infl_2.0_summary.csv
פריים,4.83,150,1.0,100000,פריים,בוליט,150,60375.00,118827.50,186750.54,32256.24,10752.08,,175998.46,28118.76,20250724_230436,loan_פריים_int_4.83_term_150_infl_1.0_summary.csv
משתנה לא צמודה כל 5,4.97,270,1.0,100000,קבועה לא צמודה,בוליט,270,111825.00,211389.17,497170.52,147724.39,49241.46,,447929.05,-35899.39,20250724_231135,loan_משתנה לא צמודה כל 5_int_4.97_term_270_infl_1.0_summary.csv
דולר,3.35,150,1.0,100000,דולר,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235313,loan_דולר_int_3.35_term_150_infl_1.0_summary.csv
משתנה צמודה כל שנה,3.35,180,4.0,100000,משתנה צמודה כל שנה,בוליט,180,68929.26,146378.91,259339.21,54966.37,18322.12,,241017.08,13962.89,20250725_000330,loan_משתנה צמודה כל שנה_int_3.35_term_180_infl_4.0_summary.csv
משתנה צמודה כל 2,3.67,240,3.0,100000,משתנה צמודה כל שנה,בוליט,240,112545.81,174933.93,390747.06,109822.90,36607.63,,354139.43,2722.91,20250725_001954,loan_משתנה צמודה כל 2_int_3.67_term_240_infl_3.0_summary.csv
קבועה צמודה,3.45,120,3.0,100000,קבועה צמודה,בוליט,120,40276.10,102911.84,147997.03,20948.34,6982.78,,141014.25,19327.75,20250724_234215,loan_קבועה צמודה_int_3.45_term_120_infl_3.0_summary.csv
יורו,3.45,120,3.0,100000,יורו,בוליט,120,34500.00,108587.50,155172.20,21628.81,7209.60,,147962.60,12871.19,20250724_234454,loan_יורו_int_3.45_term_120_infl_3.0_summary.csv
קבועה צמודה,3.67,210,3.0,100000,קבועה צמודה,בוליט,210,84541.52,166775.14,327153.43,79746.00,26582.00,,300571.43,4795.51,20250725_000554,loan_קבועה צמודה_int_3.67_term_210_infl_3.0_summary.csv
משתנה צמודה כל 10,3.83,30,3.0,100000,משתנה צמודה כל 10,בוליט,360,186455.16,245128.98,879948.99,349876.73,116625.58,,763323.41,-163421.57,20250724_232539,loan_משתנה צמודה כל 10_int_3.83_term_30_infl_3.0_summary.csv
קבועה צמודה,3.67,210,1.0,100000,קבועה צמודה,בוליט,210,70213.97,180950.33,348571.45,83201.38,27733.79,,320837.66,-12987.42,20250725_000528,loan_קבועה צמודה_int_3.67_term_210_infl_1.0_summary.csv
משתנה לא צמודה כל 5,5.04,60,2.0,100000,משתנה לא צמודה כל 5,בוליט,60,25200.00,46020.00,54752.77,3869.71,1289.90,,53462.86,21330.29,20250724_224810,loan_משתנה לא צמודה כל 5_int_5.04_term_60_infl_2.0_summary.csv
משתנה צמודה כל 10,3.55,360,2.0,100000,משתנה צמודה כל 10,בוליט,360,146007.53,285331.24,972324.80,377346.65,125782.22,,846542.59,-231339.11,20250725_005210,loan_משתנה צמודה כל 10_int_3.55_term_360_infl_2.0_summary.csv
דולר,3.45,120,3.0,100000,דולר,בוליט,120,34500.00,108587.50,155172.20,21628.81,7209.60,,147962.60,12871.19,20250724_234547,loan_דולר_int_3.45_term_120_infl_3.0_summary.csv
משתנה לא צמודה כל 5,4.83,150,1.0,100000,קבועה לא צמודה,בוליט,150,60375.00,118827.50,186750.54,32256.24,10752.08,,175998.46,28118.76,20250724_230621,loan_משתנה לא צמודה כל 5_int_4.83_term_150_infl_1.0_summary.csv
דולר,3.55,360,2.0,100000,דולר,בוליט,360,106500.00,324595.83,1056475.90,400595.27,133531.76,,922944.14,-294095.27,20250725_004838,loan_דולר_int_3.55_term_360_infl_2.0_summary.csv
זכאות,3.63,300,2.0,100000,זכאות,בוליט,300,117814.42,241484.11,651756.49,216881.49,72293.83,,579462.66,-99067.07,20250725_003104,loan_זכאות_int_3.63_term_300_infl_2.0_summary.csv
משתנה צמודה כל שנה,3.67,240,4.0,100000,משתנה צמודה כל שנה,בוליט,240,112545.81,174933.93,390747.06,109822.90,36607.63,,354139.43,2722.91,20250725_001915,loan_משתנה צמודה כל שנה_int_3.67_term_240_infl_4.0_summary.csv
משתנה צמודה כל 5,3.67,240,1.0,100000,משתנה צמודה כל 5,בוליט,240,81285.16,205888.35,440063.15,118713.69,39571.23,,400491.92,-37428.53,20250725_001411,loan_משתנה צמודה כל 5_int_3.67_term_240_infl_1.0_summary.csv
פריים,4.97,300,2.0,100000,פריים,בוליט,300,124250.00,234964.17,614554.58,200120.53,66706.84,,547847.73,-75870.53,20250724_225700,loan_פריים_int_4.97_term_300_infl_2.0_summary.csv
קבועה לא צמודה,4.92,90,3.0,100000,קבועה לא צמודה,בוליט,90,36900.00,70310.00,91569.90,9645.47,3215.16,,88354.74,27254.53,20250724_230318,loan_קבועה לא צמודה_int_4.92_term_90_infl_3.0_summary.csv
יורו,3.63,300,3.0,100000,יורו,בוליט,300,90750.00,268352.50,701882.59,228557.60,76185.87,,625696.72,-137807.60,20250725_003211,loan_יורו_int_3.63_term_300_infl_3.0_summary.csv
משתנה לא צמודה כל 5,4.96,210,2.0,100000,קבועה לא צמודה,בוליט,210,86800.00,164413.33,314693.32,74543.49,24847.83,,289845.49,12256.51,20250724_230911,loan_משתנה לא צמודה כל 5_int_4.96_term_210_infl_2.0_summary.csv
משתנה צמודה כל שנה,3.55,330,4.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004255,loan_משתנה צמודה כל שנה_int_3.55_term_330_infl_4.0_summary.csv
משתנה צמודה כל שנה,3.45,90,3.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_233939,loan_משתנה צמודה כל שנה_int_3.45_term_90_infl_3.0_summary.csv
קבועה צמודה,3.55,360,2.0,100000,קבועה צמודה,בוליט,360,146007.53,285331.24,972324.80,377346.65,125782.22,,846542.59,-231339.11,20250725_004505,loan_קבועה צמודה_int_3.55_term_360_infl_2.0_summary.csv
יורו,3.55,360,4.0,100000,יורו,בוליט,360,106500.00,324595.83,1056475.90,400595.27,133531.76,,922944.14,-294095.27,20250725_004812,loan_יורו_int_3.55_term_360_infl_4.0_summary.csv
קבועה צמודה,3.63,270,2.0,100000,קבועה צמודה,בוליט,270,103213.79,220060.44,530558.62,160864.56,53621.52,,476937.10,-57650.76,20250725_002126,loan_קבועה צמודה_int_3.63_term_270_infl_2.0_summary.csv
קבועה צמודה,3.83,60,2.0,100000,קבועה צמודה,בוליט,60,20156.15,50996.55,60737.66,4317.15,1439.05,,59298.62,15839.00,20250724_232619,loan_קבועה צמודה_int_3.83_term_60_infl_2.0_summary.csv
דולר,3.45,120,4.0,100000,דולר,בוליט,120,34500.00,108587.50,155172.20,21628.81,7209.60,,147962.60,12871.19,20250724_234600,loan_דולר_int_3.45_term_120_infl_4.0_summary.csv
משתנה צמודה כל 5,3.35,150,1.0,100000,קבועה צמודה,בוליט,150,54396.36,124863.52,199113.39,35317.01,11772.34,,187341.05,19079.36,20250724_235036,loan_משתנה צמודה כל 5_int_3.35_term_150_infl_1.0_summary.csv
קבועה לא צמודה,4.83,150,1.0,100000,קבועה לא צמודה,בוליט,150,60375.00,118827.50,186750.54,32256.24,10752.08,,175998.46,28118.76,20250724_230529,loan_קבועה לא צמודה_int_4.83_term_150_infl_1.0_summary.csv
משתנה צמודה כל 5,3.63,300,2.0,100000,משתנה צמודה כל 5,בוליט,300,117814.42,241484.11,651756.49,216881.49,72293.83,,579462.66,-99067.07,20250725_003011,loan_משתנה צמודה כל 5_int_3.63_term_300_infl_2.0_summary.csv
משתנה צמודה כל 10,3.35,150,4.0,100000,דולר,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235720,loan_משתנה צמודה כל 10_int_3.35_term_150_infl_4.0_summary.csv
משתנה צמודה כל שנה,3.55,360,3.0,100000,משתנה צמודה כל שנה,בוליט,360,172823.98,258702.84,918125.06,363166.78,121055.59,,797069.47,-190342.80,20250725_005038,loan_משתנה צמודה כל שנה_int_3.55_term_360_infl_3.0_summary.csv
דולר,3.45,90,1.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_233729,loan_דולר_int_3.45_term_90_infl_1.0_summary.csv
דולר,3.55,360,3.0,100000,דולר,בוליט,360,106500.00,324595.83,1056475.90,400595.27,133531.76,,922944.14,-294095.27,20250725_004852,loan_דולר_int_3.55_term_360_infl_3.0_summary.csv
משתנה לא צמודה כל 5,4.83,150,2.0,100000,קבועה לא צמודה,בוליט,150,60375.00,118827.50,186750.54,32256.24,10752.08,,175998.46,28118.76,20250724_230634,loan_משתנה לא צמודה כל 5_int_4.83_term_150_infl_2.0_summary.csv
משתנה צמודה כל שנה,3.63,270,3.0,100000,דולר,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002655,loan_משתנה צמודה כל שנה_int_3.63_term_270_infl_3.0_summary.csv
משתנה צמודה כל 10,3.35,180,1.0,100000,משתנה צמודה כל 2,בוליט,180,68929.26,146378.91,259339.21,54966.37,18322.12,,241017.08,13962.89,20250725_000436,loan_משתנה צמודה כל 10_int_3.35_term_180_infl_1.0_summary.csv
דולר,3.35,180,3.0,100000,דולר,בוליט,180,50250.00,164829.17,285554.80,58610.13,19536.71,,266018.09,-8360.13,20250725_000131,loan_דולר_int_3.35_term_180_infl_3.0_summary.csv
משתנה צמודה כל שנה,3.55,330,2.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004229,loan_משתנה צמודה כל שנה_int_3.55_term_330_infl_2.0_summary.csv
